measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,86,Republic of Italy,3,Both,22,All ages,294,All causes,1,Number,1980,548213.7276781361,549977.7575605222,546681.0500080807
2,DALYs (Disability-Adjusted Life Years),6,People's Republic of China,3,Both,22,All ages,294,All causes,3,Rate,1990,35461.06131,39204.95953,32309.15149
1,Deaths,101,Canada,3,Both,22,All ages,294,All causes,1,Number,1980,169702.55,170426.4503,168930.5228
2,DALYs (Disability-Adjusted Life Years),6,People's Republic of China,3,Both,22,All ages,294,All causes,3,Rate,1991,34959.34713,38011.7155,31931.19505
1,Deaths,200,Republic of Benin,3,Both,22,All ages,294,All causes,1,Number,1980,58026.84005,63427.32609,52989.1408
2,DALYs (Disability-Adjusted Life Years),6,People's Republic of China,3,Both,22,All ages,294,All causes,3,Rate,1992,34246.70974,37587.97578,31165.36648
1,Deaths,78,Kingdom of Denmark,3,Both,22,All ages,294,All causes,1,Number,1981,55538.09155,56073.65239,55027.85762
2,DALYs (Disability-Adjusted Life Years),6,People's Republic of China,3,Both,22,All ages,294,All causes,3,Rate,1993,33533.74072,36459.16834,30809.15894
1,Deaths,71,Australia,3,Both,22,All ages,294,All causes,1,Number,1982,111589.8055,112279.9959,110914.4514
2,DALYs (Disability-Adjusted Life Years),6,People's Republic of China,3,Both,22,All ages,294,All causes,3,Rate,1994,32850.05498,35941.52691,30070.3578
1,Deaths,71,Australia,3,Both,22,All ages,294,All causes,1,Number,1980,108036.8155,108716.0645,107365.5098
2,DALYs (Disability-Adjusted Life Years),6,People's Republic of China,3,Both,22,All ages,294,All causes,3,Rate,1995,32194.85896,35133.56756,29635.67617
1,Deaths,8,Taiwan (Province of China),3,Both,22,All ages,294,All causes,1,Number,1982,86391.6461,87082.28712,85699.62009
2,DALYs (Disability-Adjusted Life Years),6,People's Republic of China,3,Both,22,All ages,294,All causes,3,Rate,1996,31507.83156,34400.38463,29067.80952
1,Deaths,29,Kingdom of Tonga,3,Both,22,All ages,294,All causes,1,Number,1981,559.2405926,606.616658,511.565564
2,DALYs (Disability-Adjusted Life Years),6,People's Republic of China,3,Both,22,All ages,294,All causes,3,Rate,1997,30824.47628,33476.57182,28178.02719
1,Deaths,435,Republic of South Sudan,3,Both,22,All ages,294,All causes,1,Number,1980,77154.98905,90785.97365,63699.4465
2,DALYs (Disability-Adjusted Life Years),6,People's Republic of China,3,Both,22,All ages,294,All causes,3,Rate,1998,30378.9745,33200.09198,27815.42815
1,Deaths,136,Republic of Paraguay,3,Both,22,All ages,294,All causes,1,Number,1982,15184.2947,16555.40843,14024.79981
2,DALYs (Disability-Adjusted Life Years),6,People's Republic of China,3,Both,22,All ages,294,All causes,3,Rate,1999,30076.39216,32834.16166,27567.12089
1,Deaths,38,Mongolia,3,Both,22,All ages,294,All causes,1,Number,1982,18303.17163,20237.43283,16443.85657
2,DALYs (Disability-Adjusted Life Years),6,People's Republic of China,3,Both,22,All ages,294,All causes,3,Rate,2000,30034.09018,32854.30998,27429.64473
1,Deaths,6,People's Republic of China,3,Both,22,All ages,294,All causes,1,Number,1982,7711559.998,8562616.07,6929388.211
2,DALYs (Disability-Adjusted Life Years),6,People's Republic of China,3,Both,22,All ages,294,All causes,3,Rate,2001,29830.69824,32861.73828,27147.45678
1,Deaths,36,Republic of Kazakhstan,3,Both,22,All ages,294,All causes,1,Number,1980,116949.1313,121094.9495,113466.5361
2,DALYs (Disability-Adjusted Life Years),6,People's Republic of China,3,Both,22,All ages,294,All causes,3,Rate,2002,29634.97527,32605.31371,26947.99061
1,Deaths,209,Republic of Guinea-Bissau,3,Both,22,All ages,294,All causes,1,Number,1981,16371.91931,18597.97618,14198.0313
2,DALYs (Disability-Adjusted Life Years),6,People's Republic of China,3,Both,22,All ages,294,All causes,3,Rate,2003,29562.72652,32576.35325,26913.49697
1,Deaths,201,Burkina Faso,3,Both,22,All ages,294,All causes,1,Number,1980,143511.6205,155886.3863,132317.1964
2,DALYs (Disability-Adjusted Life Years),6,People's Republic of China,3,Both,22,All ages,294,All causes,3,Rate,2004,29582.06051,32603.54269,26931.00039
1,Deaths,90,Kingdom of Norway,3,Both,22,All ages,294,All causes,1,Number,1980,41369.27483,41770.14325,40957.9759
2,DALYs (Disability-Adjusted Life Years),6,People's Republic of China,3,Both,22,All ages,294,All causes,3,Rate,2005,29141.85149,32119.32651,26613.62444
1,Deaths,351,Guam,3,Both,22,All ages,294,All causes,1,Number,1980,424.7102346,442.7279752,407.4852178
2,DALYs (Disability-Adjusted Life Years),6,People's Republic of China,3,Both,22,All ages,294,All causes,3,Rate,2006,28246.35677,31246.29317,25574.53268
1,Deaths,94,Swiss Confederation,3,Both,22,All ages,294,All causes,1,Number,1981,59093.98923,59576.86977,58640.64163
2,DALYs (Disability-Adjusted Life Years),6,People's Republic of China,3,Both,22,All ages,294,All causes,3,Rate,2007,27814.78527,30702.2029,25132.84789
1,Deaths,15,Republic of the Union of Myanmar,3,Both,22,All ages,294,All causes,1,Number,1983,534536.1887,613219.7098,463018.2495
2,DALYs (Disability-Adjusted Life Years),6,People's Republic of China,3,Both,22,All ages,294,All causes,3,Rate,2008,28072.1704,31146.23854,25446.77185
1,Deaths,203,Republic of Cabo Verde,3,Both,22,All ages,294,All causes,1,Number,1980,2415.469588,2581.096566,2265.731596
2,DALYs (Disability-Adjusted Life Years),6,People's Republic of China,3,Both,22,All ages,294,All causes,3,Rate,2009,27738.19534,30769.20136,24903.4831
1,Deaths,80,French Republic,3,Both,22,All ages,294,All causes,1,Number,1983,551357.1011,553236.3025,549454.1516
2,DALYs (Disability-Adjusted Life Years),6,People's Republic of China,3,Both,22,All ages,294,All causes,3,Rate,2010,27632.19024,30485.94473,25037.53835
1,Deaths,48,Hungary,3,Both,22,All ages,294,All causes,1,Number,1983,148533.5721,150464.7821,146789.2497
2,DALYs (Disability-Adjusted Life Years),6,People's Republic of China,3,Both,22,All ages,294,All causes,3,Rate,2011,27443.70359,30700.93907,24463.75511
1,Deaths,81,Federal Republic of Germany,3,Both,22,All ages,294,All causes,1,Number,1983,938169.7584,940879.6834,935412.626
2,DALYs (Disability-Adjusted Life Years),6,People's Republic of China,3,Both,22,All ages,294,All causes,3,Rate,2012,27294.10475,30546.8989,24220.12341
1,Deaths,69,Republic of Singapore,3,Both,22,All ages,294,All causes,1,Number,1980,12500.7767,12635.77889,12361.5297
2,DALYs (Disability-Adjusted Life Years),6,People's Republic of China,3,Both,22,All ages,294,All causes,3,Rate,2013,27220.84475,30738.79195,24082.21733
1,Deaths,393,Saint Kitts and Nevis,3,Both,22,All ages,294,All causes,1,Number,1981,498.1016762,523.152882,470.778206
